Step,Obj_Name,Obj_X,Obj_Y,Deflection_dX,Max_Flow_Vel
0,FlexibleCantilever_0,200.0,101,0.0,0.04000399987538757
20,FlexibleCantilever_0,250.0,101,50.0,0.06853526395182029
40,FlexibleCantilever_0,250.0,101,50.0,0.07546241519605754
60,FlexibleCantilever_0,250.0,101,50.0,0.08256292794865266
80,FlexibleCantilever_0,250.0,101,50.0,0.07507748181468027
100,FlexibleCantilever_0,250.0,101,50.0,0.08574573982477864
120,FlexibleCantilever_0,250.0,101,50.0,0.1000960186435491
140,FlexibleCantilever_0,250.0,101,50.0,0.11309823992424124
160,FlexibleCantilever_0,250.0,101,50.0,0.12388019902778463
180,FlexibleCantilever_0,250.0,101,50.0,0.13443775029995547
200,FlexibleCantilever_0,250.0,101,50.0,0.14210225695297127
220,FlexibleCantilever_0,250.0,101,50.0,0.14736554027191845
240,FlexibleCantilever_0,250.0,101,50.0,0.15316462117366247
260,FlexibleCantilever_0,250.0,101,50.0,0.15809977454316868
280,FlexibleCantilever_0,250.0,101,50.0,0.16533419704683167
300,FlexibleCantilever_0,250.0,101,50.0,0.17242707030302204
320,FlexibleCantilever_0,250.0,101,50.0,0.1780978697376859
340,FlexibleCantilever_0,250.0,101,50.0,0.18252184569962931
360,FlexibleCantilever_0,250.0,101,50.0,0.18862877590327914
380,FlexibleCantilever_0,250.0,101,50.0,0.19087786339097562
400,FlexibleCantilever_0,250.0,101,50.0,0.17943545787705267
420,FlexibleCantilever_0,250.0,101,50.0,0.17301628381319806
440,FlexibleCantilever_0,250.0,101,50.0,0.17012645517815472
460,FlexibleCantilever_0,250.0,101,50.0,0.16627213237679178
480,FlexibleCantilever_0,250.0,101,50.0,0.1607951728932811
500,FlexibleCantilever_0,250.0,101,50.0,0.15596890120991602
520,FlexibleCantilever_0,250.0,101,50.0,0.15273422847495025
540,FlexibleCantilever_0,250.0,101,50.0,0.14946353003151952
560,FlexibleCantilever_0,250.0,101,50.0,0.1462147479246607
580,FlexibleCantilever_0,250.0,101,50.0,0.14565608616266343
600,FlexibleCantilever_0,250.0,101,50.0,0.14625065708931959
620,FlexibleCantilever_0,250.0,101,50.0,0.14704446835648974
640,FlexibleCantilever_0,250.0,101,50.0,0.14730154066832124
660,FlexibleCantilever_0,250.0,101,50.0,0.1462831451946176
680,FlexibleCantilever_0,250.0,101,50.0,0.14404677394786256
700,FlexibleCantilever_0,250.0,101,50.0,0.14079134658863948
