Step,Obj_Name,Obj_X,Obj_Y,Deflection_dX,Max_Flow_Vel
0,FlexibleCantilever_0,200.0,101,0.0,0.04000399987538757
20,FlexibleCantilever_0,250.0,101,50.0,0.07216262545467637
40,FlexibleCantilever_0,250.0,101,50.0,0.07377400439036398
60,FlexibleCantilever_0,250.0,101,50.0,0.07932019332514531
80,FlexibleCantilever_0,250.0,101,50.0,0.07135371270606843
100,FlexibleCantilever_0,250.0,101,50.0,0.08189811414762907
120,FlexibleCantilever_0,250.0,101,50.0,0.09919510561316046
140,FlexibleCantilever_0,250.0,101,50.0,0.11310508963160462
160,FlexibleCantilever_0,250.0,101,50.0,0.1237162519767665
180,FlexibleCantilever_0,250.0,101,50.0,0.13448602963986858
200,FlexibleCantilever_0,250.0,101,50.0,0.14175505779282085
220,FlexibleCantilever_0,250.0,101,50.0,0.14699267184938675
240,FlexibleCantilever_0,250.0,101,50.0,0.15282445503696934
260,FlexibleCantilever_0,250.0,101,50.0,0.1578815886985407
280,FlexibleCantilever_0,250.0,101,50.0,0.16512585958189027
300,FlexibleCantilever_0,250.0,101,50.0,0.17211879298352215
320,FlexibleCantilever_0,250.0,101,50.0,0.1777634683439543
340,FlexibleCantilever_0,250.0,101,50.0,0.18222301508693636
360,FlexibleCantilever_0,250.0,101,50.0,0.1882635789364952
380,FlexibleCantilever_0,250.0,101,50.0,0.19011310406759177
400,FlexibleCantilever_0,250.0,101,50.0,0.17860029703981475
420,FlexibleCantilever_0,250.0,101,50.0,0.17332188210153265
440,FlexibleCantilever_0,250.0,101,50.0,0.17046656262116705
460,FlexibleCantilever_0,250.0,101,50.0,0.16592127540868157
480,FlexibleCantilever_0,250.0,101,50.0,0.160561749920324
500,FlexibleCantilever_0,250.0,101,50.0,0.15598404353527182
520,FlexibleCantilever_0,250.0,101,50.0,0.15213027009061542
540,FlexibleCantilever_0,250.0,101,50.0,0.1478254705540413
560,FlexibleCantilever_0,250.0,101,50.0,0.14767567797499584
580,FlexibleCantilever_0,250.0,101,50.0,0.14978625707822454
600,FlexibleCantilever_0,250.0,101,50.0,0.15091972924107597
620,FlexibleCantilever_0,250.0,101,50.0,0.15095433862700447
640,FlexibleCantilever_0,250.0,101,50.0,0.14949846728931282
660,FlexibleCantilever_0,250.0,101,50.0,0.14660791545550778
680,FlexibleCantilever_0,250.0,101,50.0,0.1427129833112306
700,FlexibleCantilever_0,250.0,101,50.0,0.1386639662706404
720,FlexibleCantilever_0,250.0,101,50.0,0.13465512401358323
740,FlexibleCantilever_0,250.0,101,50.0,0.13113293150438377
760,FlexibleCantilever_0,250.0,101,50.0,0.14424837013303554
780,FlexibleCantilever_0,250.0,101,50.0,0.15520450670969618
800,FlexibleCantilever_0,250.0,101,50.0,0.15661708713967246
820,FlexibleCantilever_0,250.0,101,50.0,0.15787169203965262
840,FlexibleCantilever_0,250.0,101,50.0,0.16365063822060472
860,FlexibleCantilever_0,250.0,101,50.0,0.16369581153191695
880,FlexibleCantilever_0,250.0,101,50.0,0.16206266322353324
900,FlexibleCantilever_0,250.0,101,50.0,0.16823318713343094
920,FlexibleCantilever_0,250.0,101,50.0,0.1737316619152181
940,FlexibleCantilever_0,250.0,101,50.0,0.17376043133216695
960,FlexibleCantilever_0,250.0,101,50.0,0.1741497431164544
980,FlexibleCantilever_0,250.0,101,50.0,0.17271787189375415
1000,FlexibleCantilever_0,250.0,101,50.0,0.17059545294575415
1020,FlexibleCantilever_0,250.0,101,50.0,0.16890509508217622
1040,FlexibleCantilever_0,250.0,101,50.0,0.16829668594156816
1060,FlexibleCantilever_0,250.0,101,50.0,0.16559711866364896
1080,FlexibleCantilever_0,250.0,101,50.0,0.16066369372309217
1100,FlexibleCantilever_0,250.0,101,50.0,0.16090560910594862
1120,FlexibleCantilever_0,250.0,101,50.0,0.16265278939517294
1140,FlexibleCantilever_0,250.0,101,50.0,0.16506935960625949
1160,FlexibleCantilever_0,150.0,101,-50.0,0.15432636097569516
1180,FlexibleCantilever_0,150.0,101,-50.0,0.153382643530418
1200,FlexibleCantilever_0,150.0,101,-50.0,0.14581479214615217
1220,FlexibleCantilever_0,150.0,101,-50.0,0.14433919422480798
1240,FlexibleCantilever_0,150.0,101,-50.0,0.14027889587685402
1260,FlexibleCantilever_0,150.0,101,-50.0,0.1522876986843527
1280,FlexibleCantilever_0,150.0,101,-50.0,0.1431830392742018
1300,FlexibleCantilever_0,150.0,101,-50.0,0.15862183390795162
1320,FlexibleCantilever_0,150.0,101,-50.0,0.1624188481374718
1340,FlexibleCantilever_0,150.0,101,-50.0,0.16259958328965987
1360,FlexibleCantilever_0,150.0,101,-50.0,0.1593295593513882
